sampled,museum,catalog_number,UCIAMS_number,taxon,genus,species,locality,ucmp_locality,side,element,collagen_present,batch,publication
TRUE,UCMP,235222,,Paramylodon,Paramylodon,,McKittrick,,,,,3,
TRUE,UCMP,236389,,Paramylodon,Paramylodon,,McKittrick,7139,,proximal metapodial,,1,
TRUE,UCMP,236390,,Paramylodon,Paramylodon,,McKittrick,7139,,distal frag of distal phalanx,,1,
TRUE,UCMP,236398,,Paramylodon,Paramylodon,,McKittrick,7139,,tibia,,1,
TRUE,UCMP,236400,,Paramylodon,Paramylodon,,McKittrick,7139,,"distal claw, broken",,1,
TRUE,UCMP,236577,,Paramylodon,Paramylodon,,McKittrick,7139,,ossicles,,1,
TRUE,UCMP,287457,,Paramylodon,Paramylodon,,McKittrick,7139,,broken distal phalanx,,1,
TRUE,UCMP,236348,,,Paramylodon,,McKittrick,,,,,4,
TRUE,UCMP,236395,,,Paramylodon,,McKittrick,,,,,4,
TRUE,UCMP,237053,,,Paramylodon,,McKittrick,,,,,4,
TRUE,UCMP,149246,,,Smilodon,,McKittrick,,,,,4,
TRUE,UCMP,234682,,,,,McKittrick,,,,,2,
TRUE,UCMP,234975,,,,,McKittrick,,,,,2,
TRUE,UCMP,236343,,check if mammoth or sloth,,,McKittrick,7139,,femoral head,,1,
TRUE,UCMP,236964,,,,,McKittrick,,,,,2,
TRUE,UCMP,237085,,Xenarthra,,,McKittrick,,,,,2,
TRUE,UCMP,241166,,Proboscidea,,,McKittrick,7139,check,distal fibula,,1,
TRUE,UCMP,235113,,Camelidae,,,McKittrick,,,,,4,
TRUE,UCMP,236337,,Camelidae,,,McKittrick,,,,,4,
TRUE,UCMP,236338,,Camelidae,,,McKittrick,,,,,4,
TRUE,UCMP,237175,,Mammalia,,,McKittrick,,,,,4,
TRUE,UCMP,239775,,Artiodactyla,,,McKittrick,,,,,4,
TRUE,UCMP,241157,,Mammalia,,,McKittrick,,,,,4,
TRUE,UCMP,241158,,Mammalia,,,McKittrick,,,,,4,
TRUE,UCMP,241159,,Mammalia,,,McKittrick,,,,,4,
TRUE,UCMP,246097,,Mylodontidae,,,McKittrick,,,,,4,
TRUE,UCMP,259686,,Proboscidea,,,McKittrick,,,,,4,
TRUE,UCMP,259698,,Mammalia,,,McKittrick,,,,,4,
TRUE,UCMP,259703,,Mammalia,,,McKittrick,,,,,4,
TRUE,UCMP,233923,,,Canis,latrans,McKittrick,,,canine,,5,
TRUE,UCMP,233952,,,Canis,latrans,McKittrick,,,canine,,5,
TRUE,UCMP,233971,,,Aenocyon,dirus,McKittrick,,,canine,,5,
TRUE,UCMP,233999,,,Canis,latrans,McKittrick,,,canine,,5,
TRUE,UCMP,234502,,,Canis,latrans,McKittrick,,,canine,,5,
TRUE,UCMP,234503,,,Canis,latrans,McKittrick,,,canine,,5,
TRUE,UCMP,234504,,,Canis,latrans,McKittrick,,,canine,,5,
TRUE,UCMP,237977,,,Aenocyon,dirus,McKittrick,,,canine,,5,
TRUE,UCMP,238700,,,Aenocyon,dirus,McKittrick,,,canine,,5,
TRUE,UCMP,239155,,,Aenocyon,dirus,McKittrick,,,canine,,5,
TRUE,UCMP,246020,,,Aenocyon,dirus,McKittrick,,,canine,,5,
TRUE,UCMP,246076,,,Aenocyon,dirus,McKittrick,,,canine,,5,
TRUE,UCMP,246523,,,Aenocyon,dirus,McKittrick,,,canine,,5,
TRUE,UCMP,246644,,,Aenocyon,dirus,McKittrick,,,canine,,5,
TRUE,UCMP,246721,,,Aenocyon,dirus,McKittrick,,,canine,,5,
TRUE,UCMP,246828,,,Canis,latrans,McKittrick,,,canine,,5,
TRUE,UCMP,246838,,,Canis,latrans,McKittrick,,,canine,,5,
TRUE,UCMP,246839,,,Canis,latrans,McKittrick,,,canine,,5,
TRUE,UCMP,248003,,,Canis,latrans,McKittrick,,,canine,,5,
